primer_species,well_dir,ds_rate,tcrb_amp_factor,tcrg_amp_factor
V03-01,1_0250_2X_0p7X__WD347,75,0.84298,1.0377
V03-01,1_0250_2X_0p7X__WD355,75,0.84152,1.08203
V03-01,1_0250_3X_0p5X__JS052,75,0.81185,1.0531
V03-01,1_0250_3X_0p5X__JS060,75,1.08674,1.05623
V03-01,1_0250_3X_0p5X__JS068,75,0.98977,0.96237
V03-01,1_0250_3X_0p7X__WD340,75,0.84645,1.02716
V03-01,1_0250_3X_0p7X__WD348,75,0.97414,0.98247
V03-01,1_0250_3X_0p7X__WD356,75,0.7987,0.98325
V03-01,1_0500_0X_0p5X__JS025,75,0.84299,1.09129
V03-01,1_0500_0X_0p5X__JS033,75,0.95927,1.00505
V03-01,1_0500_0X_0p5X__JS041,75,0.89082,1.01028
V03-01,1_0500_0X_0p7X__WD313,75,0.98159,1.04476
V03-01,1_0500_0X_0p7X__WD321,75,0.92962,0.92768
V03-01,1_0500_0X_0p7X__WD329,75,0.8855,1.16575
V03-01,1_0500_1X_0p5X__JS026,75,0.94566,1.00815
V03-01,1_0500_1X_0p5X__JS034,75,0.96606,1.12448
V03-01,1_0500_1X_0p5X__JS042,75,0.99957,1.02791
V03-01,1_0500_1X_0p7X__WD314,75,0.87798,1.21513
V03-01,1_0500_1X_0p7X__WD322,75,0.91301,1.08286
V03-01,1_0500_1X_0p7X__WD330,75,0.86829,1.02867
V03-01,1_0500_2X_0p5X__JS027,75,1.0408,0.97659
V03-01,1_0500_2X_0p5X__JS035,75,0.9005,0.87903
V03-01,1_0500_2X_0p5X__JS043,75,1.07644,0.9433
V03-01,1_0500_2X_0p7X__WD315,75,0.92346,1.06459
V03-01,1_0500_2X_0p7X__WD323,75,0.91674,1.05375
V03-01,1_0500_2X_0p7X__WD331,75,0.85451,1.07737
V03-01,1_0500_3X_0p5X__JS028,75,0.82634,1.04119
V03-01,1_0500_3X_0p5X__JS036,75,0.96089,1.03018
V03-01,1_0500_3X_0p5X__JS044,75,0.97943,1.06359
V03-01,1_0500_3X_0p7X__WD316,75,1.01242,0.93731
V03-01,1_0500_3X_0p7X__WD324,75,0.87627,1.07083
V03-01,1_0500_3X_0p7X__WD332,75,0.93629,1.06134
V03-01,1_2000_0X_0p5X__JS001,75,0.91354,1.18759
V03-01,1_2000_0X_0p5X__JS009,75,1.04605,1.10179
V03-01,1_2000_0X_0p5X__JS017,75,0.91227,1.08346
V03-01,1_2000_0X_0p7X__WD289,75,0.83103,1.10814
V03-01,1_2000_0X_0p7X__WD297,75,0.9482,1.19525
V03-01,1_2000_0X_0p7X__WD305,75,0.91637,1.09566
V03-01,1_2000_1X_0p5X__JS002,75,1.00955,1.06279
V03-01,1_2000_1X_0p5X__JS010,75,0.91155,1.00179
V03-01,1_2000_1X_0p5X__JS018,75,0.96461,1.03691
V03-01,1_2000_1X_0p7X__WD290,75,0.88503,1.13035
V03-01,1_2000_1X_0p7X__WD298,75,1.05808,1.1321
V03-01,1_2000_1X_0p7X__WD306,75,0.8872,1.14997
V03-01,1_2000_2X_0p5X__JS003,75,0.97088,0.98188
V03-01,1_2000_2X_0p5X__JS011,75,0.98204,1.11399
V03-01,1_2000_2X_0p5X__JS019,75,0.85604,1.04611
V03-01,1_2000_2X_0p7X__WD291,75,0.8495,1.03127
V03-01,1_2000_2X_0p7X__WD299,75,0.86831,1.19753
V03-01,1_2000_2X_0p7X__WD307,75,0.91764,1.06006
V03-01,1_2000_3X_0p5X__JS004,75,1.04796,1.1227
V03-01,1_2000_3X_0p5X__JS012,75,1.08333,1.05169
V03-01,1_2000_3X_0p5X__JS020,75,1.02196,1.0027
V03-01,1_2000_3X_0p7X__WD292,75,0.93632,1.06556
V03-01,1_2000_3X_0p7X__WD300,75,0.86649,1.06672
V03-01,1_2000_3X_0p7X__WD308,75,0.97599,1.15324
V04,1_0063_0X_0p5X__JS029,75,0.91502,1.07217
V04,1_0063_0X_0p5X__JS037,75,0.98571,0.92493
V04,1_0063_0X_0p5X__JS045,75,0.94824,0.90455
V04,1_0063_0X_0p7X__WD317,75,0.98517,0.9342
V04,1_0063_0X_0p7X__WD325,75,0.95183,1.00194
V04,1_0063_0X_0p7X__WD333,75,0.94146,0.92375
V04,1_0063_1X_0p5X__JS030,75,1.01211,0.98232
V04,1_0063_1X_0p5X__JS038,75,1.00127,1.06533
V04,1_0063_1X_0p5X__JS046,75,0.97395,0.94887
V04,1_0063_1X_0p7X__WD318,75,0.97349,0.91894
V04,1_0063_1X_0p7X__WD326,75,0.98389,0.96578
V04,1_0063_1X_0p7X__WD334,75,1.0106,0.93192
V04,1_0063_2X_0p5X__JS031,75,0.97072,1.05393
V04,1_0063_2X_0p5X__JS039,75,0.99426,0.99452
V04,1_0063_2X_0p5X__JS047,75,1.02603,0.9483
V04,1_0063_2X_0p7X__WD319,75,1.02261,0.93357
V04,1_0063_2X_0p7X__WD327,75,0.90984,1.00931
V04,1_0063_2X_0p7X__WD335,75,0.91443,0.91722
V04,1_0063_3X_0p5X__JS032,75,0.97561,0.92899
V04,1_0063_3X_0p5X__JS040,75,1.00664,1.02039
V04,1_0063_3X_0p5X__JS048,75,0.92429,1.02093
V04,1_0063_3X_0p7X__WD320,75,0.94732,0.92075
V04,1_0063_3X_0p7X__WD328,75,0.98077,0.95658
V04,1_0063_3X_0p7X__WD336,75,0.96551,1.07844
V04,1_0125_0X_0p5X__JS005,75,0.98957,0.89805
V04,1_0125_0X_0p5X__JS013,75,1.01873,0.99734
V04,1_0125_0X_0p5X__JS021,75,0.94427,0.98956
V04,1_0125_0X_0p7X__WD293,75,0.92561,0.99746
V04,1_0125_0X_0p7X__WD301,75,0.95557,1.00239
V04,1_0125_0X_0p7X__WD309,75,0.96984,0.9679
V04,1_0125_1X_0p5X__JS006,75,0.90582,1.01303
V04,1_0125_1X_0p5X__JS014,75,0.98012,1.0297
V04,1_0125_1X_0p5X__JS022,75,0.94918,0.95902
V04,1_0125_1X_0p7X__WD294,75,0.93895,0.89946
V04,1_0125_1X_0p7X__WD302,75,0.9515,0.96873
V04,1_0125_1X_0p7X__WD310,75,0.98822,1.04778
V04,1_0125_2X_0p5X__JS007,75,1.0172,0.99151
V04,1_0125_2X_0p5X__JS015,75,0.98153,0.96266
V04,1_0125_2X_0p5X__JS023,75,0.94019,0.98701
V04,1_0125_2X_0p7X__WD295,75,1.02015,0.99152
V04,1_0125_2X_0p7X__WD303,75,0.97775,0.99655
V04,1_0125_2X_0p7X__WD311,75,1.00959,0.95868
V04,1_0125_3X_0p5X__JS008,75,0.97141,0.99001
V04,1_0125_3X_0p5X__JS016,75,0.97084,1.00579
V04,1_0125_3X_0p5X__JS024,75,0.95472,0.95377
V04,1_0125_3X_0p7X__WD296,75,0.9823,0.95339
V04,1_0125_3X_0p7X__WD304,75,0.92286,0.92147
V04,1_0125_3X_0p7X__WD312,75,1.02873,0.97883
V04,1_0250_0X_0p5X__JS049,75,0.95458,0.9167
V04,1_0250_0X_0p5X__JS057,75,1.03695,1.0465
V04,1_0250_0X_0p5X__JS065,75,0.95919,0.87705
V04,1_0250_0X_0p7X__WD337,75,0.97687,1.10838
V04,1_0250_0X_0p7X__WD345,75,0.95301,0.92317
V04,1_0250_0X_0p7X__WD353,75,0.91634,0.97007
V04,1_0250_1X_0p5X__JS050,75,0.98934,0.99203
V04,1_0250_1X_0p5X__JS058,75,0.95806,0.9657
V04,1_0250_1X_0p5X__JS066,75,0.96017,0.90589
V04,1_0250_1X_0p7X__WD338,75,0.90414,1.01055
V04,1_0250_1X_0p7X__WD346,75,0.94426,0.96423
V04,1_0250_1X_0p7X__WD354,75,0.91636,0.95113
V04,1_0250_2X_0p5X__JS051,75,0.94501,1.00097
V04,1_0250_2X_0p5X__JS059,75,0.95468,0.99094
V04,1_0250_2X_0p5X__JS067,75,0.9901,1.05918
V04,1_0250_2X_0p7X__WD339,75,0.93939,1.05196
V04,1_0250_2X_0p7X__WD347,75,0.89511,0.93916
V04,1_0250_2X_0p7X__WD355,75,0.99841,0.96446
V04,1_0250_3X_0p5X__JS052,75,1.01521,0.99127
V04,1_0250_3X_0p5X__JS060,75,0.94988,0.92744
V04,1_0250_3X_0p5X__JS068,75,0.91595,0.94477
V04,1_0250_3X_0p7X__WD340,75,0.993,1.07718
V04,1_0250_3X_0p7X__WD348,75,0.92716,1.00521
V04,1_0250_3X_0p7X__WD356,75,1.01309,1.031
V04,1_0500_0X_0p5X__JS025,75,0.98727,1.02553
V04,1_0500_0X_0p5X__JS033,75,0.99708,0.935
V04,1_0500_0X_0p5X__JS041,75,0.97693,0.95338
V04,1_0500_0X_0p7X__WD313,75,1.03527,0.942
V04,1_0500_0X_0p7X__WD321,75,1.00676,0.86401
V04,1_0500_0X_0p7X__WD329,75,0.91522,0.97673
V04,1_0500_1X_0p5X__JS026,75,0.97998,1.01243
V04,1_0500_1X_0p5X__JS034,75,0.99936,1.01509
V04,1_0500_1X_0p5X__JS042,75,0.9594,1.00209
V04,1_0500_1X_0p7X__WD314,75,0.87246,0.96413
V04,1_0500_1X_0p7X__WD322,75,0.92035,1.01761
V04,1_0500_1X_0p7X__WD330,75,0.97267,0.93114
V04,1_0500_2X_0p5X__JS027,75,0.98984,1.00505
V04,1_0500_2X_0p5X__JS035,75,0.91296,0.956
V04,1_0500_2X_0p5X__JS043,75,0.9584,0.87245
V04,1_0500_2X_0p7X__WD315,75,0.89515,0.9839
V04,1_0500_2X_0p7X__WD323,75,0.93286,0.95373
V04,1_0500_2X_0p7X__WD331,75,0.94496,0.92621
V04,1_0500_3X_0p5X__JS028,75,0.92767,1.05169
V04,1_0500_3X_0p5X__JS036,75,0.99134,1.10902
V04,1_0500_3X_0p5X__JS044,75,0.9014,0.95149
V04,1_0500_3X_0p7X__WD316,75,0.97578,0.96716
V04,1_0500_3X_0p7X__WD324,75,1.00397,0.93934
V04,1_0500_3X_0p7X__WD332,75,0.93588,1.01163
V04,1_2000_0X_0p5X__JS001,75,0.92509,0.96857
V04,1_2000_0X_0p5X__JS009,75,0.94801,1.02525
V04,1_2000_0X_0p5X__JS017,75,0.94985,0.99661
V04,1_2000_0X_0p7X__WD289,75,1.0238,1.02891
V04,1_2000_0X_0p7X__WD297,75,0.92354,0.90898
V04,1_2000_0X_0p7X__WD305,75,0.98028,0.98658
V04,1_2000_1X_0p5X__JS002,75,0.93796,0.98644
V04,1_2000_1X_0p5X__JS010,75,0.98371,0.96921
V04,1_2000_1X_0p5X__JS018,75,1.00113,0.92831
V04,1_2000_1X_0p7X__WD290,75,1.08744,0.86425
V04,1_2000_1X_0p7X__WD298,75,0.97776,0.96332
V04,1_2000_1X_0p7X__WD306,75,0.98547,0.86982
V04,1_2000_2X_0p5X__JS003,75,1.01558,1.0626
V04,1_2000_2X_0p5X__JS011,75,0.97406,1.14
V04,1_2000_2X_0p5X__JS019,75,0.9781,0.97068
V04,1_2000_2X_0p7X__WD291,75,0.98564,0.97797
V04,1_2000_2X_0p7X__WD299,75,0.96004,0.88687
V04,1_2000_2X_0p7X__WD307,75,1.03518,0.99097
V04,1_2000_3X_0p5X__JS004,75,0.90142,1.003
V04,1_2000_3X_0p5X__JS012,75,0.96767,0.97966
V04,1_2000_3X_0p5X__JS020,75,0.9623,0.92572
V04,1_2000_3X_0p7X__WD292,75,0.92662,0.94327
V04,1_2000_3X_0p7X__WD300,75,0.89142,0.88315
V04,1_2000_3X_0p7X__WD308,75,1.03013,1.04557
V04-01,1_0063_0X_0p5X__JS029,75,0.90633,1.07217
V04-01,1_0063_0X_0p5X__JS037,75,1.03262,0.92493
V04-01,1_0063_0X_0p5X__JS045,75,1.17638,0.90455
V04-01,1_0063_0X_0p7X__WD317,75,1.11401,0.9342
V04-01,1_0063_0X_0p7X__WD325,75,1.02042,1.00194
V04-01,1_0063_0X_0p7X__WD333,75,1.05962,0.92375
V04-01,1_0063_1X_0p5X__JS030,75,1.05342,0.98232
V04-01,1_0063_1X_0p5X__JS038,75,1.09512,1.06533
V04-01,1_0063_1X_0p5X__JS046,75,1.00817,0.94887
V04-01,1_0063_1X_0p7X__WD318,75,1.04446,0.91894
V04-01,1_0063_1X_0p7X__WD326,75,1.06302,0.96578
V04-01,1_0063_1X_0p7X__WD334,75,1.18959,0.93192
V04-01,1_0063_2X_0p5X__JS031,75,1.1603,1.05393
V04-01,1_0063_2X_0p5X__JS039,75,1.0928,0.99452
V04-01,1_0063_2X_0p5X__JS047,75,1.13175,0.9483
V04-01,1_0063_2X_0p7X__WD319,75,0.98906,0.93357
V04-01,1_0063_2X_0p7X__WD327,75,1.02914,1.00931
V04-01,1_0063_2X_0p7X__WD335,75,1.00837,0.91722
V04-01,1_0063_3X_0p5X__JS032,75,1.1553,0.92899
V04-01,1_0063_3X_0p5X__JS040,75,1.17837,1.02039
V04-01,1_0063_3X_0p5X__JS048,75,1.066,1.02093
V04-01,1_0063_3X_0p7X__WD320,75,1.10663,0.92075
V04-01,1_0063_3X_0p7X__WD328,75,1.09252,0.95658
V04-01,1_0063_3X_0p7X__WD336,75,1.03762,1.07844
V04-01,1_0125_0X_0p5X__JS005,75,1.24274,0.89805
V04-01,1_0125_0X_0p5X__JS013,75,1.00207,0.99734
V04-01,1_0125_0X_0p5X__JS021,75,1.17338,0.98956
V04-01,1_0125_0X_0p7X__WD293,75,0.98242,0.99746
V04-01,1_0125_0X_0p7X__WD301,75,1.06539,1.00239
V04-01,1_0125_0X_0p7X__WD309,75,0.96602,0.9679
V04-01,1_0125_1X_0p5X__JS006,75,1.00483,1.01303
V04-01,1_0125_1X_0p5X__JS014,75,1.08812,1.0297
V04-01,1_0125_1X_0p5X__JS022,75,1.02892,0.95902
V04-01,1_0125_1X_0p7X__WD294,75,1.01204,0.89946
V04-01,1_0125_1X_0p7X__WD302,75,1.01623,0.96873
V04-01,1_0125_1X_0p7X__WD310,75,1.18469,1.04778
V04-01,1_0125_2X_0p5X__JS007,75,1.12244,0.99151
V04-01,1_0125_2X_0p5X__JS015,75,1.08363,0.96266
V04-01,1_0125_2X_0p5X__JS023,75,1.10871,0.98701
V04-01,1_0125_2X_0p7X__WD295,75,1.21364,0.99152
V04-01,1_0125_2X_0p7X__WD303,75,1.00432,0.99655
V04-01,1_0125_2X_0p7X__WD311,75,1.18419,0.95868
V04-01,1_0125_3X_0p5X__JS008,75,1.15201,0.99001
V04-01,1_0125_3X_0p5X__JS016,75,1.03494,1.00579
V04-01,1_0125_3X_0p5X__JS024,75,1.00434,0.95377
V04-01,1_0125_3X_0p7X__WD296,75,0.9601,0.95339
V04-01,1_0125_3X_0p7X__WD304,75,1.06247,0.92147
V04-01,1_0125_3X_0p7X__WD312,75,1.17704,0.97883
V04-01,1_0250_0X_0p5X__JS049,75,1.11146,0.9167
V04-01,1_0250_0X_0p5X__JS057,75,1.22864,1.0465
V04-01,1_0250_0X_0p5X__JS065,75,1.09946,0.87705
V04-01,1_0250_0X_0p7X__WD337,75,1.11527,1.10838
V04-01,1_0250_0X_0p7X__WD345,75,0.99241,0.92317
V04-01,1_0250_0X_0p7X__WD353,75,0.99044,0.97007
V04-01,1_0250_1X_0p5X__JS050,75,1.12304,0.99203
V04-01,1_0250_1X_0p5X__JS058,75,1.04834,0.9657
V04-01,1_0250_1X_0p5X__JS066,75,1.0807,0.90589
V04-01,1_0250_1X_0p7X__WD338,75,1.04906,1.01055
V04-01,1_0250_1X_0p7X__WD346,75,1.0258,0.96423
V04-01,1_0250_1X_0p7X__WD354,75,0.96308,0.95113
V04-01,1_0250_2X_0p5X__JS051,75,1.12864,1.00097
V04-01,1_0250_2X_0p5X__JS059,75,1.06031,0.99094
V04-01,1_0250_2X_0p5X__JS067,75,1.13041,1.05918
V04-01,1_0250_2X_0p7X__WD339,75,1.05861,1.05196
V04-01,1_0250_2X_0p7X__WD347,75,0.9916,0.93916
V04-01,1_0250_2X_0p7X__WD355,75,1.02656,0.96446
V04-01,1_0250_3X_0p5X__JS052,75,1.03228,0.99127
V04-01,1_0250_3X_0p5X__JS060,75,1.16668,0.92744
V04-01,1_0250_3X_0p5X__JS068,75,1.1239,0.94477
V04-01,1_0250_3X_0p7X__WD340,75,1.07375,1.07718
V04-01,1_0250_3X_0p7X__WD348,75,1.02769,1.00521
V04-01,1_0250_3X_0p7X__WD356,75,1.20901,1.031
V04-01,1_0500_0X_0p5X__JS025,75,0.95017,1.02553
V04-01,1_0500_0X_0p5X__JS033,75,1.07851,0.935
V04-01,1_0500_0X_0p5X__JS041,75,1.21966,0.95338
V04-01,1_0500_0X_0p7X__WD313,75,1.21741,0.942
V04-01,1_0500_0X_0p7X__WD321,75,1.08638,0.86401
V04-01,1_0500_0X_0p7X__WD329,75,0.92792,0.97673
V04-01,1_0500_1X_0p5X__JS026,75,1.04287,1.01243
V04-01,1_0500_1X_0p5X__JS034,75,1.14718,1.01509
V04-01,1_0500_1X_0p5X__JS042,75,1.09849,1.00209
V04-01,1_0500_1X_0p7X__WD314,75,1.05885,0.96413
V04-01,1_0500_1X_0p7X__WD322,75,0.92965,1.01761
V04-01,1_0500_1X_0p7X__WD330,75,1.12041,0.93114
V04-01,1_0500_2X_0p5X__JS027,75,1.15376,1.00505
V04-01,1_0500_2X_0p5X__JS035,75,0.96981,0.956
V04-01,1_0500_2X_0p5X__JS043,75,1.06555,0.87245
V04-01,1_0500_2X_0p7X__WD315,75,1.03272,0.9839
V04-01,1_0500_2X_0p7X__WD323,75,0.89824,0.95373
V04-01,1_0500_2X_0p7X__WD331,75,1.01438,0.92621
V04-01,1_0500_3X_0p5X__JS028,75,1.15623,1.05169
V04-01,1_0500_3X_0p5X__JS036,75,1.02149,1.10902
V04-01,1_0500_3X_0p5X__JS044,75,0.98376,0.95149
V04-01,1_0500_3X_0p7X__WD316,75,1.12843,0.96716
V04-01,1_0500_3X_0p7X__WD324,75,1.10892,0.93934
V04-01,1_0500_3X_0p7X__WD332,75,0.96958,1.01163
V04-01,1_2000_0X_0p5X__JS001,75,1.08376,0.96857
V04-01,1_2000_0X_0p5X__JS009,75,1.09705,1.02525
V04-01,1_2000_0X_0p5X__JS017,75,1.04098,0.99661
V04-01,1_2000_0X_0p7X__WD289,75,1.18706,1.02891
V04-01,1_2000_0X_0p7X__WD297,75,0.95218,0.90898
V04-01,1_2000_0X_0p7X__WD305,75,1.0123,0.98658
V04-01,1_2000_1X_0p5X__JS002,75,1.14112,0.98644
V04-01,1_2000_1X_0p5X__JS010,75,1.20767,0.96921
V04-01,1_2000_1X_0p5X__JS018,75,1.12071,0.92831
V04-01,1_2000_1X_0p7X__WD290,75,1.20712,0.86425
V04-01,1_2000_1X_0p7X__WD298,75,0.97899,0.96332
V04-01,1_2000_1X_0p7X__WD306,75,1.12188,0.86982
V04-01,1_2000_2X_0p5X__JS003,75,1.03057,1.0626
V04-01,1_2000_2X_0p5X__JS011,75,1.02101,1.14
V04-01,1_2000_2X_0p5X__JS019,75,1.12043,0.97068
V04-01,1_2000_2X_0p7X__WD291,75,1.18211,0.97797
V04-01,1_2000_2X_0p7X__WD299,75,1.09548,0.88687
V04-01,1_2000_2X_0p7X__WD307,75,1.14426,0.99097
V04-01,1_2000_3X_0p5X__JS004,75,1.02704,1.003
V04-01,1_2000_3X_0p5X__JS012,75,1.09697,0.97966
V04-01,1_2000_3X_0p5X__JS020,75,1.12968,0.92572
V04-01,1_2000_3X_0p7X__WD292,75,0.91454,0.94327
V04-01,1_2000_3X_0p7X__WD300,75,1.03514,0.88315
V04-01,1_2000_3X_0p7X__WD308,75,1.18328,1.04557
V05,1_0063_0X_0p5X__JS029,75,1.0369,1.19841
V05,1_0063_0X_0p5X__JS037,75,0.98485,1.04208
V05,1_0063_0X_0p5X__JS045,75,1.00325,0.94801
V05,1_0063_0X_0p7X__WD317,75,0.96698,1.10089
V05,1_0063_0X_0p7X__WD325,75,0.97096,1.21872
V05,1_0063_0X_0p7X__WD333,75,1.03491,0.95269
V05,1_0063_1X_0p5X__JS030,75,0.96623,1.02524
V05,1_0063_1X_0p5X__JS038,75,0.97557,1.09795
V05,1_0063_1X_0p5X__JS046,75,0.98784,1.05558
V05,1_0063_1X_0p7X__WD318,75,0.97761,1.21799
V05,1_0063_1X_0p7X__WD326,75,0.98282,1.18221
V05,1_0063_1X_0p7X__WD334,75,1.00766,1.19137
V05,1_0063_2X_0p5X__JS031,75,0.95587,0.93018
V05,1_0063_2X_0p5X__JS039,75,1.03992,1.06153
V05,1_0063_2X_0p5X__JS047,75,0.98002,1.05472
V05,1_0063_2X_0p7X__WD319,75,0.96894,1.2127
V05,1_0063_2X_0p7X__WD327,75,0.99828,1.10651
V05,1_0063_2X_0p7X__WD335,75,0.97739,1.11296
V05,1_0063_3X_0p5X__JS032,75,1.0327,1.07302
V05,1_0063_3X_0p5X__JS040,75,0.9718,0.9658
V05,1_0063_3X_0p5X__JS048,75,1.02958,1.01501
V05,1_0063_3X_0p7X__WD320,75,0.98094,0.97916
V05,1_0063_3X_0p7X__WD328,75,1.04165,1.20236
V05,1_0063_3X_0p7X__WD336,75,1.0477,1.15454
V05,1_0125_0X_0p5X__JS005,75,1.00491,0.99913
V05,1_0125_0X_0p5X__JS013,75,1.00751,1.04064
V05,1_0125_0X_0p5X__JS021,75,1.01473,1.04325
V05,1_0125_0X_0p7X__WD293,75,1.02548,1.23435
V05,1_0125_0X_0p7X__WD301,75,1.00432,1.15082
V05,1_0125_0X_0p7X__WD309,75,0.9675,1.10561
V05,1_0125_1X_0p5X__JS006,75,1.03776,1.17677
V05,1_0125_1X_0p5X__JS014,75,0.9666,1.17708
V05,1_0125_1X_0p5X__JS022,75,0.97328,1.10954
V05,1_0125_1X_0p7X__WD294,75,0.9724,1.14167
V05,1_0125_1X_0p7X__WD302,75,0.96463,1.02288
V05,1_0125_1X_0p7X__WD310,75,1.00645,1.1436
V05,1_0125_2X_0p5X__JS007,75,1.02116,1.3376
V05,1_0125_2X_0p5X__JS015,75,1.00908,1.12461
V05,1_0125_2X_0p5X__JS023,75,0.96163,0.91687
V05,1_0125_2X_0p7X__WD295,75,0.99707,1.08726
V05,1_0125_2X_0p7X__WD303,75,0.99203,1.15294
V05,1_0125_2X_0p7X__WD311,75,0.99234,1.08877
V05,1_0125_3X_0p5X__JS008,75,1.01441,1.1725
V05,1_0125_3X_0p5X__JS016,75,1.04776,1.06796
V05,1_0125_3X_0p5X__JS024,75,0.99835,1.00821
V05,1_0125_3X_0p7X__WD296,75,1.01855,1.21716
V05,1_0125_3X_0p7X__WD304,75,0.96434,1.16017
V05,1_0125_3X_0p7X__WD312,75,0.92613,1.18314
V05,1_0250_0X_0p5X__JS049,75,0.95658,1.02152
V05,1_0250_0X_0p5X__JS057,75,1.05158,1.06126
V05,1_0250_0X_0p5X__JS065,75,1.01682,1.06287
V05,1_0250_0X_0p7X__WD337,75,1.00145,1.21442
V05,1_0250_0X_0p7X__WD345,75,0.9817,1.26219
V05,1_0250_0X_0p7X__WD353,75,1.00598,1.17907
V05,1_0250_1X_0p5X__JS050,75,0.99502,1.09716
V05,1_0250_1X_0p5X__JS058,75,0.99456,1.06245
V05,1_0250_1X_0p5X__JS066,75,0.98155,1.09282
V05,1_0250_1X_0p7X__WD338,75,1.02913,1.2132
V05,1_0250_1X_0p7X__WD346,75,0.98539,1.15109
V05,1_0250_1X_0p7X__WD354,75,0.99477,1.19758
V05,1_0250_2X_0p5X__JS051,75,1.04141,1.22158
V05,1_0250_2X_0p5X__JS059,75,1.03094,1.15733
V05,1_0250_2X_0p5X__JS067,75,1.00637,1.12284
V05,1_0250_2X_0p7X__WD339,75,1.01003,1.12139
V05,1_0250_2X_0p7X__WD347,75,1.0061,1.03845
V05,1_0250_2X_0p7X__WD355,75,0.96518,1.13328
V05,1_0250_3X_0p5X__JS052,75,1.02914,1.08973
V05,1_0250_3X_0p5X__JS060,75,1.02921,1.07549
V05,1_0250_3X_0p5X__JS068,75,0.98667,1.00831
V05,1_0250_3X_0p7X__WD340,75,1.00358,1.16397
V05,1_0250_3X_0p7X__WD348,75,0.97924,1.13847
V05,1_0250_3X_0p7X__WD356,75,0.96866,1.05271
V05,1_0500_0X_0p5X__JS025,75,0.98779,1.08699
V05,1_0500_0X_0p5X__JS033,75,1.04988,1.12972
V05,1_0500_0X_0p5X__JS041,75,0.97816,1.16388
V05,1_0500_0X_0p7X__WD313,75,1.00591,1.12973
V05,1_0500_0X_0p7X__WD321,75,0.96549,1.18661
V05,1_0500_0X_0p7X__WD329,75,1.03487,1.25444
V05,1_0500_1X_0p5X__JS026,75,1.01645,1.15015
V05,1_0500_1X_0p5X__JS034,75,1.00013,0.99977
V05,1_0500_1X_0p5X__JS042,75,1.0263,1.02786
V05,1_0500_1X_0p7X__WD314,75,0.98621,1.2442
V05,1_0500_1X_0p7X__WD322,75,0.9909,1.19519
V05,1_0500_1X_0p7X__WD330,75,1.02365,1.2486
V05,1_0500_2X_0p5X__JS027,75,0.96263,1.02138
V05,1_0500_2X_0p5X__JS035,75,1.00113,1.1799
V05,1_0500_2X_0p5X__JS043,75,0.98442,1.13506
V05,1_0500_2X_0p7X__WD315,75,0.94251,1.18421
V05,1_0500_2X_0p7X__WD323,75,1.00181,1.24359
V05,1_0500_2X_0p7X__WD331,75,1.03082,1.18756
V05,1_0500_3X_0p5X__JS028,75,1.0571,1.07235
V05,1_0500_3X_0p5X__JS036,75,1.00601,0.97638
V05,1_0500_3X_0p5X__JS044,75,1.00064,1.12554
V05,1_0500_3X_0p7X__WD316,75,0.94444,1.08104
